2026-06-05 13:01:32,937 | INFO     | __main__ | [DB] Existing database deleted.
2026-06-05 13:02:49,840 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 360448-393216/1642948
2026-06-05 13:02:50,566 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 393216-425984/1642948
2026-06-05 13:02:51,216 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 425984-458752/1642948
2026-06-05 13:02:52,101 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 458752-491520/1642948
2026-06-05 13:02:52,925 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 491520-524288/1642948
2026-06-05 13:02:53,700 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 524288-557056/1642948
2026-06-05 13:02:54,559 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 557056-589824/1642948
2026-06-05 13:02:55,223 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 589824-622592/1642948
2026-06-05 13:02:55,820 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001p.dat: 206 0-32768/379690
2026-06-05 13:02:56,394 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001p.dat: 206 32768-65536/379690
2026-06-05 13:02:57,083 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001p.dat: 206 65536-98304/379690
2026-06-05 13:02:57,608 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001p.dat: 206 98304-131072/379690
2026-06-05 13:02:58,121 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001p.dat: 206 131072-163840/379690
2026-06-05 13:02:58,616 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001p.dat: 206 120942-153710/379690
2026-06-05 13:02:59,164 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001p.dat: 206 119807-152575/379690
2026-06-05 13:02:59,810 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001r.dat: 206 0-32768/137901
2026-06-05 13:03:00,403 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001r.dat: 206 32768-65536/137901
2026-06-05 13:04:15,830 | INFO     | __main__ | [DB] Existing database deleted.
2026-06-05 13:04:15,838 | INFO     | CLI.db.database | [DB] Schema initialised at /Users/sathvik/Desktop/Internship/project2/vitals_pipeline.db
2026-06-05 13:04:15,844 | INFO     | __main__ | ============================================================
2026-06-05 13:04:15,844 | INFO     | __main__ |  APNEA MODULE
2026-06-05 13:04:15,844 | INFO     | __main__ | ============================================================
2026-06-05 13:04:43,526 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927.hea: 200 0-542/542
2026-06-05 13:04:43,920 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0000.hea: 200 0-249/249
2026-06-05 13:04:44,208 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0001.hea: 200 0-391/391
2026-06-05 13:04:44,532 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0002.hea: 200 0-465/465
2026-06-05 13:04:44,807 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0003.hea: 200 0-264/264
2026-06-05 13:04:45,113 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0004.hea: 200 0-164/164
2026-06-05 13:04:45,454 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0005.hea: 200 0-266/266
2026-06-05 13:04:45,716 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0006.hea: 200 0-462/462
2026-06-05 13:04:46,068 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0007.hea: 200 0-364/364
2026-06-05 13:04:46,378 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008.hea: 200 0-471/471
